group_type,group,nodes,edges,density,avg_clustering,modularity
phase,peak,155,2083,0.17452869710934227,0.32604424440312363,0.31553182939181745
phase,post,476,5943,0.05256965944272446,0.24522030285392038,0.8000540456449919
phase,pre,68,1511,0.6633011413520632,0.9705882352941176,0.033975422239995084
release,claude35,277,4328,0.11322136765552242,0.32675762479780535,0.7373332314933493
release,gpt4o,394,5046,0.06517611500755609,0.24639462669483894,0.7263157608082506
release,llama3,24,157,0.5688405797101449,1.0,0.23173353888595902
